context,model,provider,persona_id,vulnerable,age,education,factors_mentioned
Healthcare,LLaMA-3.1-8B,Meta,P1,No,28.0,Master,"['age', 'education', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P2,No,28.0,Master,"['age', 'education', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P3,No,28.0,Master,"['age', 'education', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P1,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P2,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P3,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P1,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P2,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P3,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P1,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P2,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P3,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P1,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P2,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P3,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P1,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P2,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P3,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P1,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P2,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P3,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P1,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P2,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P3,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P1,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P2,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P3,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P1,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P2,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.1-8B,Meta,P3,No,28.0,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.3-70B,Meta,P1,Yes,28.0,PhD,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.3-70B,Meta,P2,No,42.0,PhD,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.3-70B,Meta,P3,No,35.0,PhD,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.3-70B,Meta,P1,No,28.0,PhD,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.3-70B,Meta,P2,No,42.0,PhD,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.3-70B,Meta,P3,Yes,35.0,PhD,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.3-70B,Meta,P1,Yes,28.0,PhD,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.3-70B,Meta,P2,No,42.0,PhD,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,LLaMA-3.3-70B,Meta,P3,No,35.0,PhD,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,Qwen3-32B,Qwen,P1,No,,Master,"['age', 'education', 'location', 'personality']"
Healthcare,Qwen3-32B,Qwen,P2,No,,Master,"['age', 'education', 'location', 'personality']"
Healthcare,Qwen3-32B,Qwen,P3,No,,Master,"['age', 'education', 'location', 'personality']"
Healthcare,Qwen3-32B,Qwen,P1,No,,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,Qwen3-32B,Qwen,P2,No,,Master,"['age', 'education', 'experience', 'location', 'personality']"
Healthcare,Qwen3-32B,Qwen,P3,No,,Master,"['age', 'education', 'experience', 'location', 'personality']"
